101,85,78,92,88,2023
102,70,68,65,72,2023
103,90,85,87,90,2023
104,60,62,58,65,2023
105,75,80,70,78,2023
106,88,85,90,93,2024
107,55,60,58,62,2024
108,77,79,75,80,2024
109,95,92,94,96,2024
110,68,70,72,74,2024
111,77,83,88,82,2023
112,69,75,80,78,2023
113,82,87,85,84,2023
114,91,89,94,92,2023
115,76,74,79,77,2023
116,88,86,89,87,2024
117,63,67,70,66,2024
118,79,82,85,81,2024
119,92,94,96,93,2024
120,70,73,75,72,2024
121,81,83,85,84,2023
122,67,71,74,70,2023
123,78,82,84,79,2023
124,89,87,91,90,2023
125,72,76,79,75,2023
126,86,85,88,87,2024
127,60,63,66,62,2024
128,82,84,87,83,2024
129,94,96,98,95,2024
130,71,74,77,73,2024
131,85,87,89,91,2023
132,78,80,82,84,2023
133,92,90,88,86,2023
134,70,72,74,76,2023
135,83,85,87,89,2024
136,75,77,79,81,2024
137,88,90,92,94,2024
138,69,71,73,75,2024
139,81,83,85,87,2024
140,94,92,90,88,2024
141,85,88,91,84,2023
142,77,80,83,76,2023
143,90,92,94,88,2023
144,65,68,71,63,2023
145,82,84,86,80,2024
146,73,75,77,70,2024
147,87,89,91,85,2024
148,68,70,72,66,2024
149,80,82,84,78,2024
150,92,94,96,90,2024
151,79,81,83,77,2023
152,71,73,75,69,2023
153,84,86,88,82,2023
154,59,62,65,56,2023
155,76,78,80,74,2023
156,89,91,93,86,2024
157,62,64,66,60,2024
158,83,85,87,81,2024
159,95,97,99,93,2024
160,72,74,76,68,2024
161,80,82,84,78,2023
162,70,72,74,68,2023
163,85,87,89,83,2023
164,63,66,69,60,2023
165,81,83,85,79,2024
166,74,76,78,72,2024
167,88,90,92,86,2024
168,67,69,71,65,2024
169,79,81,83,77,2024
170,91,93,95,89,2024
171,78,80,82,76,2023
172,69,71,73,67,2023
173,83,85,87,81,2023
174,60,63,66,58,2023
175,77,79,81,75,2023
176,90,92,94,88,2024
177,65,67,69,63,2024
178,86,88,90,84,2024
179,94,96,98,92,2024
180,73,75,77,71,2024
181,82,84,86,80,2023
182,71,73,75,69,2023
183,84,86,88,82,2023
184,59,61,63,57,2023
185,76,78,80,74,2023
186,89,91,93,87,2024
187,62,64,66,60,2024
188,83,85,87,81,2024
189,95,97,99,93,2024
190,72,74,76,70,2024
191,80,82,84,78,2023
192,70,72,74,68,2023
193,85,87,89,83,2023
194,63,65,67,61,2023
195,81,83,85,79,2024
196,74,76,78,72,2024
197,88,90,92,86,2024
198,67,69,71,65,2024
199,79,81,83,77,2024
200,91,93,95,89,2024
201,78,80,82,76,2023
202,69,71,73,67,2023
203,83,85,87,81,2023
204,60,62,64,58,2023
205,77,79,81,75,2023
206,90,92,94,88,2024
207,65,67,69,63,2024
208,86,88,90,84,2024
209,94,96,98,92,2024
210,73,75,77,71,2024
211,82,84,86,80,2023
212,71,73,75,69,2023
213,84,86,88,82,2023
214,59,61,63,57,2023
215,76,78,80,74,2023
216,89,91,93,87,2024
217,62,64,66,60,2024
218,83,85,87,81,2024
219,95,97,99,93,2024
220,72,74,76,70,2024
221,80,82,84,78,2023
222,70,72,74,68,2023
223,85,87,89,83,2023
224,63,65,67,61,2023
225,81,83,85,79,2024
226,74,76,78,72,2024
227,88,90,92,86,2024
228,67,69,71,65,2024
229,79,81,83,77,2024
230,91,93,95,89,2024
231,78,80,82,76,2023
232,69,71,73,67,2023
233,83,85,87,81,2023
234,60,62,64,58,2023
235,77,79,81,75,2023
236,90,92,94,88,2024
237,65,67,69,63,2024
238,86,88,90,84,2024
239,94,96,98,92,2024
240,73,75,77,71,2024
241,82,84,86,80,2023
242,71,73,75,69,2023
243,84,86,88,82,2023
244,59,61,63,57,2023
245,76,78,80,74,2023
246,89,91,93,87,2024
247,62,64,66,60,2024
248,83,85,87,81,2024
249,95,97,99,93,2024
250,72,74,76,70,2024
251,85,87,89,84,2025
252,77,80,83,76,2025
253,90,92,94,88,2025
254,65,68,71,63,2025
255,82,84,86,80,2026
256,73,75,77,70,2026
257,87,89,91,85,2026
258,68,70,72,66,2026
259,80,82,84,78,2026
260,92,94,96,90,2026
261,79,81,83,77,2025
262,71,73,75,69,2025
263,84,86,88,82,2025
264,59,62,65,56,2025
265,76,78,80,74,2025
266,89,91,93,86,2026
267,62,64,66,60,2026
268,83,85,87,81,2026
269,95,97,99,93,2026
270,72,74,76,68,2026
271,80,82,84,78,2025
272,70,72,74,68,2025
273,85,87,89,83,2025
274,63,66,69,60,2025
275,81,83,85,79,2026
276,74,76,78,72,2026
277,88,90,92,86,2026
278,67,69,71,65,2026
279,79,81,83,77,2026
280,91,93,95,89,2026
281,78,80,82,76,2025
282,69,71,73,67,2025
283,83,85,87,81,2025
284,60,63,66,58,2025
285,77,79,81,75,2025
286,90,92,94,88,2026
287,65,67,69,63,2026
288,86,88,90,84,2026
289,94,96,98,92,2026
290,73,75,77,71,2026
291,82,84,86,80,2025
292,71,73,75,69,2025
293,84,86,88,82,2025
294,59,61,63,57,2025
295,76,78,80,74,2025
296,89,91,93,87,2026
297,62,64,66,60,2026
298,83,85,87,81,2026
299,95,97,99,93,2026
300,72,74,76,70,2026
